
Unknown;
Machine;\\7icost19\c\handler\log\console\Events;
Summary of time consumption;;;
Cycle Count;1831295;;
Batch Count;327;;
Jam Count;142;;
Assist Count;285;;
Changeover;26;;
Startups;41;;
;;;
Productive Time;05.04:12:59;;
Standby Time;11.01:10:20;;
;;;
UP Time;16.05:23:19;;
;;;
Jam Time;03.01:11:05;;
Assist Time;06:43:40;;
Changeover Time;19:27:07;;
Startup Time;01.04:51:31;;
Maintenance Time;03.11:28:33;;
;;;
Down Time;08.19:41:56;;
Operations Time;25.01:05:15;;
;;;
Analysis Start Time;10/30/20 2:25:00 PM;;
Analysis End Time;11/24/20 3:50:15 PM;;
Total Time;25.01:25:15;;
Equipment Indicators;;;;
Reliability;Failure Rate;02:44:31;;
;MTBF;00:52:29;;
;MCBF;12896;;
;Assist Rate;01:21:58;;
;MTBA;00:26:09;;
;MCBA;6425;;
Availability;Operational uptime;64%;;
Maintainability;MTTR;00:30:55;;
;MTTA;00:01:24;;
Operational utilization;Utilization;20%;;
;Total utilization;20%;;
Throughput;cycles/productive time;14742;;
Batch Profile;;;;;;;;;;;;;;;;;;;;
Batch Name;ID;Status;Pass Lane;End Time;Total Time;Productive ;Total ;X1;X2;X3;X5;X8;Left ;Right ;Abort ;Gross UPH;Net UPH;Yield;
;;;;;;Time ;Count ;;;;;;Taper ;Taper ;Count 
7ICOST19_DSMBGA802_TPSM_scratch_2;38;C ;Unknown;15 Nov 2020 17:47:29;00:09:35.000;00:00:00.000;12739;20;0;0;0;0;0;0;20;0;N/A;00.00%;
7ICOST19_DSMBGA802_TPSM_scratch_2;38;C ;Unknown;15 Nov 2020 17:47:29;00:09:35.000;00:00:00.000;12739;20;0;0;0;0;0;0;20;0;N/A;00.00%;
Default;39;C ;X3;15 Nov 2020 18:33:05;00:17:10.000;00:00:21.000;12747;8;0;8;0;0;0;0;0;28;1371;100.00%;
7ICOST19_DSMBGA802_TPSM_scratch_1;40;A ;Unknown;15 Nov 2020 18:33:33;00:00:00.000;00:00:00.000;12747;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_TPSM_scratch_1;40;C ;Unknown;15 Nov 2020 18:34:07;00:00:34.000;00:00:00.000;12757;10;0;0;0;0;0;0;10;0;N/A;00.00%;
7ICOST19_DSMBGA802_TPSM_scratch_1;40;C ;Unknown;15 Nov 2020 18:34:07;00:00:34.000;00:00:00.000;12757;10;0;0;0;0;0;0;10;0;N/A;00.00%;
Default;41;A ;X3;15 Nov 2020 19:19:05;00:35:00.000;00:00:02.000;12765;8;0;0;0;0;0;0;8;0;0;N/A;
Default;42;C ;X3;15 Nov 2020 19:51:54;00:32:49.000;00:00:00.000;12773;8;0;0;0;0;0;0;8;0;N/A;N/A;
Default;43;C ;X3;15 Nov 2020 20:21:59;00:20:55.000;00:00:00.000;12781;8;0;8;0;0;0;0;0;23;N/A;100.00%;
7ICOST19_Top Mix Lot_1;44;A ;Unknown;15 Nov 2020 20:23:32;00:00:00.000;00:00:00.000;12781;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_Top Mix Lot_1;44;C ;Unknown;15 Nov 2020 20:26:40;00:03:08.000;00:00:00.000;12811;30;0;0;0;0;0;0;30;0;N/A;00.00%;
7ICOST19_Top Mix Lot_1;44;C ;Unknown;15 Nov 2020 20:26:40;00:03:08.000;00:00:00.000;12811;30;0;0;0;0;0;0;30;0;N/A;00.00%;
7ICOST19_Top Marking Mix Lot_1;45;A ;Unknown;15 Nov 2020 20:34:04;00:00:00.000;00:00:00.000;12811;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_Top Marking Mix Lot_1;45;C ;Unknown;15 Nov 2020 20:40:36;00:06:32.000;00:00:00.000;12841;30;0;0;0;0;0;0;30;0;N/A;00.00%;
7ICOST19_Top Marking Mix Lot_1;45;C ;Unknown;15 Nov 2020 20:40:36;00:06:32.000;00:00:00.000;12841;30;0;0;0;0;0;0;30;0;N/A;00.00%;
7ICOST19_Top Marking Scratch_1;46;A ;Unknown;15 Nov 2020 20:42:31;00:00:00.000;00:00:00.000;12841;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_Top Marking Scratch_1;46;C ;Unknown;15 Nov 2020 20:46:52;00:04:21.000;00:00:00.000;12871;30;0;0;0;0;0;0;30;0;N/A;00.00%;
7ICOST19_Top Marking Scratch_1;46;C ;Unknown;15 Nov 2020 20:46:52;00:04:21.000;00:00:00.000;12871;30;0;0;0;0;0;0;30;0;N/A;00.00%;
